Region,Province,Year,Annual Per Capita Poverty Threshold,Poverty Incidence Among Families (%),Magnitude of Poor Families (1000)
NCR,1st District,2015,28682.0,2.0,9.01
NCR,1st District,2016,28682.0,2.0,9.01
NCR,1st District,2017,28682.0,2.0,9.01
NCR,1st District,2018,28682.0,2.0,9.01
NCR,1st District,2019,30114.0,1.6666666666666667,7.77
NCR,1st District,2020,31546.0,1.3333333333333335,6.529999999999999
NCR,1st District,2021,32978.0,1.0,5.29
NCR,1st District,2022,35344.5,1.3,6.710000000000001
NCR,1st District,2023,37711.0,1.6,8.13
NCR,1st District,2024,37711.0,1.6,8.13
NCR,1st District,2025,37711.0,1.6,8.13
NCR,2nd District,2015,28682.0,1.0,16.47
NCR,2nd District,2016,28682.0,1.0,16.47
NCR,2nd District,2017,28682.0,1.0,16.47
NCR,2nd District,2018,28682.0,1.0,16.47
NCR,2nd District,2019,30114.0,1.3333333333333333,17.576666666666664
NCR,2nd District,2020,31546.0,1.6666666666666665,18.683333333333334
NCR,2nd District,2021,32978.0,2.0,19.79
NCR,2nd District,2022,35344.5,1.45,15.515
NCR,2nd District,2023,37711.0,0.9,11.24
NCR,2nd District,2024,37711.0,0.9,11.24
NCR,2nd District,2025,37711.0,0.9,11.24
NCR,3rd District,2015,28682.0,2.0,15.11
NCR,3rd District,2016,28682.0,2.0,15.11
NCR,3rd District,2017,28682.0,2.0,15.11
NCR,3rd District,2018,28682.0,2.0,15.11
NCR,3rd District,2019,30114.0,2.3333333333333335,17.86
NCR,3rd District,2020,31546.0,2.6666666666666665,20.61
NCR,3rd District,2021,32978.0,3.0,23.36
NCR,3rd District,2022,35344.5,2.3,17.595
NCR,3rd District,2023,37711.0,1.6,11.83
NCR,3rd District,2024,37711.0,1.6,11.83
NCR,3rd District,2025,37711.0,1.6,11.83
NCR,4th District,2015,28682.0,1.0,7.0
NCR,4th District,2016,28682.0,1.0,7.0
NCR,4th District,2017,28682.0,1.0,7.0
NCR,4th District,2018,28682.0,1.0,7.0
NCR,4th District,2019,30114.0,1.6666666666666665,13.906666666666666
NCR,4th District,2020,31546.0,2.333333333333333,20.813333333333333
NCR,4th District,2021,32978.0,3.0,27.72
NCR,4th District,2022,35344.5,1.95,18.905
NCR,4th District,2023,37711.0,0.9,10.09
NCR,4th District,2024,37711.0,0.9,10.09
NCR,4th District,2025,37711.0,0.9,10.09
CAR,Abra,2015,23596.0,15.0,8.19
CAR,Abra,2016,23596.0,15.0,8.19
CAR,Abra,2017,23596.0,15.0,8.19
CAR,Abra,2018,23596.0,15.0,8.19
CAR,Abra,2019,25504.333333333332,15.333333333333334,8.523333333333333
CAR,Abra,2020,27412.666666666668,15.666666666666666,8.856666666666666
CAR,Abra,2021,29321.0,16.0,9.19
CAR,Abra,2022,30040.0,12.7,7.395
CAR,Abra,2023,30759.0,9.4,5.6
CAR,Abra,2024,30759.0,9.4,5.6
CAR,Abra,2025,30759.0,9.4,5.6
Region XIII,Agusan del Norte,2015,23775.0,18.9,31.62
Region XIII,Agusan del Norte,2016,23775.0,18.9,31.62
Region XIII,Agusan del Norte,2017,23775.0,18.9,31.62
Region XIII,Agusan del Norte,2018,23775.0,18.9,31.62
Region XIII,Agusan del Norte,2019,25090.666666666668,20.433333333333334,35.17
Region XIII,Agusan del Norte,2020,26406.333333333332,21.966666666666665,38.72
Region XIII,Agusan del Norte,2021,27722.0,23.5,42.27
Region XIII,Agusan del Norte,2022,28494.0,19.1,34.985
Region XIII,Agusan del Norte,2023,29266.0,14.7,27.7
Region XIII,Agusan del Norte,2024,29266.0,14.7,27.7
Region XIII,Agusan del Norte,2025,29266.0,14.7,27.7
Region XIII,Agusan del Sur,2015,24655.0,30.6,50.49
Region XIII,Agusan del Sur,2016,24655.0,30.6,50.49
Region XIII,Agusan del Sur,2017,24655.0,30.6,50.49
Region XIII,Agusan del Sur,2018,24655.0,30.6,50.49
Region XIII,Agusan del Sur,2019,25710.333333333332,31.533333333333335,53.31666666666667
Region XIII,Agusan del Sur,2020,26765.666666666668,32.46666666666667,56.14333333333333
Region XIII,Agusan del Sur,2021,27821.0,33.4,58.97
Region XIII,Agusan del Sur,2022,28515.5,28.4,51.04
Region XIII,Agusan del Sur,2023,29210.0,23.4,43.11
Region XIII,Agusan del Sur,2024,29210.0,23.4,43.11
Region XIII,Agusan del Sur,2025,29210.0,23.4,43.11
Region VI,Aklan,2015,23745.0,9.0,12.59
Region VI,Aklan,2016,23745.0,9.0,12.59
Region VI,Aklan,2017,23745.0,9.0,12.59
Region VI,Aklan,2018,23745.0,9.0,12.59
Region VI,Aklan,2019,24775.666666666668,10.666666666666666,15.556666666666667
Region VI,Aklan,2020,25806.333333333332,12.333333333333334,18.523333333333333
Region VI,Aklan,2021,26837.0,14.0,21.49
Region VI,Aklan,2022,28487.5,8.55,13.245
Region VI,Aklan,2023,30138.0,3.1,5.0
Region VI,Aklan,2024,30138.0,3.1,5.0
Region VI,Aklan,2025,30138.0,3.1,5.0
Region V,Albay,2015,24902.0,15.0,43.42
Region V,Albay,2016,24902.0,15.0,43.42
Region V,Albay,2017,24902.0,15.0,43.42
Region V,Albay,2018,24902.0,15.0,43.42
Region V,Albay,2019,25716.666666666668,15.0,44.553333333333335
Region V,Albay,2020,26531.333333333332,15.0,45.68666666666667
Region V,Albay,2021,27346.0,15.0,46.82
Region V,Albay,2022,31255.0,16.55,51.535
Region V,Albay,2023,35164.0,18.1,56.25
Region V,Albay,2024,35164.0,18.1,56.25
Region V,Albay,2025,35164.0,18.1,56.25
Region VI,Antique,2015,24023.0,13.0,17.77
Region VI,Antique,2016,24023.0,13.0,17.77
Region VI,Antique,2017,24023.0,13.0,17.77
Region VI,Antique,2018,24023.0,13.0,17.77
Region VI,Antique,2019,24893.0,14.666666666666666,20.726666666666667
Region VI,Antique,2020,25763.0,16.333333333333332,23.683333333333334
Region VI,Antique,2021,26633.0,18.0,26.64
Region VI,Antique,2022,29769.0,15.9,23.72
Region VI,Antique,2023,32905.0,13.8,20.8
Region VI,Antique,2024,32905.0,13.8,20.8
Region VI,Antique,2025,32905.0,13.8,20.8
CAR,Apayao,2015,23135.0,16.0,4.27
CAR,Apayao,2016,23135.0,16.0,4.27
CAR,Apayao,2017,23135.0,16.0,4.27
CAR,Apayao,2018,23135.0,16.0,4.27
CAR,Apayao,2019,23988.0,12.333333333333334,3.28
CAR,Apayao,2020,24841.0,8.666666666666668,2.29
CAR,Apayao,2021,25694.0,5.0,1.3
CAR,Apayao,2022,27789.0,4.5,1.23
CAR,Apayao,2023,29884.0,4.0,1.16
CAR,Apayao,2024,29884.0,4.0,1.16
CAR,Apayao,2025,29884.0,4.0,1.16
Region III,Aurora,2015,25219.0,12.0,6.1
Region III,Aurora,2016,25219.0,12.0,6.1
Region III,Aurora,2017,25219.0,12.0,6.1
Region III,Aurora,2018,25219.0,12.0,6.1
Region III,Aurora,2019,26906.666666666668,13.666666666666666,7.11
Region III,Aurora,2020,28594.333333333332,15.333333333333334,8.120000000000001
Region III,Aurora,2021,30282.0,17.0,9.13
Region III,Aurora,2022,31727.0,14.0,7.7
Region III,Aurora,2023,33172.0,11.0,6.27
Region III,Aurora,2024,33172.0,11.0,6.27
Region III,Aurora,2025,33172.0,11.0,6.27
BARMM,Basilan,2015,26951.0,66.3,41.98
BARMM,Basilan,2016,26951.0,66.3,41.98
BARMM,Basilan,2017,26951.0,66.3,41.98
BARMM,Basilan,2018,26951.0,66.3,41.98
BARMM,Basilan,2019,26876.666666666668,58.36666666666667,37.483333333333334
BARMM,Basilan,2020,26802.333333333332,50.43333333333333,32.986666666666665
BARMM,Basilan,2021,26728.0,42.5,28.49
BARMM,Basilan,2022,29152.5,38.1,26.005
BARMM,Basilan,2023,31577.0,33.7,23.52
BARMM,Basilan,2024,31577.0,33.7,23.52
BARMM,Basilan,2025,31577.0,33.7,23.52
Region III,Bataan,2015,29496.0,6.0,10.93
Region III,Bataan,2016,29496.0,6.0,10.93
Region III,Bataan,2017,29496.0,6.0,10.93
Region III,Bataan,2018,29496.0,6.0,10.93
Region III,Bataan,2019,30012.666666666668,7.0,13.466666666666667
Region III,Bataan,2020,30529.333333333332,8.0,16.003333333333334
Region III,Bataan,2021,31046.0,9.0,18.54
Region III,Bataan,2022,33434.0,7.8,16.314999999999998
Region III,Bataan,2023,35822.0,6.6,14.09
Region III,Bataan,2024,35822.0,6.6,14.09
Region III,Bataan,2025,35822.0,6.6,14.09
Region II,Batanes,2015,37540.0,7.0,0.33
Region II,Batanes,2016,37540.0,7.0,0.33
Region II,Batanes,2017,37540.0,7.0,0.33
Region II,Batanes,2018,37540.0,7.0,0.33
Region II,Batanes,2019,36876.666666666664,5.666666666666667,0.26666666666666666
Region II,Batanes,2020,36213.333333333336,4.333333333333334,0.20333333333333334
Region II,Batanes,2021,35550.0,3.0,0.14
Region II,Batanes,2022,37688.0,3.15,0.165
Region II,Batanes,2023,39826.0,3.3,0.19
Region II,Batanes,2024,39826.0,3.3,0.19
Region II,Batanes,2025,39826.0,3.3,0.19
Region IV-A,Batangas,2015,33068.0,9.0,58.42
Region IV-A,Batangas,2016,33068.0,9.0,58.42
Region IV-A,Batangas,2017,33068.0,9.0,58.42
Region IV-A,Batangas,2018,33068.0,9.0,58.42
Region IV-A,Batangas,2019,32321.333333333332,7.333333333333333,49.70666666666667
Region IV-A,Batangas,2020,31574.666666666668,5.666666666666666,40.99333333333334
Region IV-A,Batangas,2021,30828.0,4.0,32.28
Region IV-A,Batangas,2022,33104.0,4.45,35.900000000000006
Region IV-A,Batangas,2023,35380.0,4.9,39.52
Region IV-A,Batangas,2024,35380.0,4.9,39.52
Region IV-A,Batangas,2025,35380.0,4.9,39.52
CAR,Benguet,2015,24158.0,4.0,9.09
CAR,Benguet,2016,24158.0,4.0,9.09
CAR,Benguet,2017,24158.0,4.0,9.09
CAR,Benguet,2018,24158.0,4.0,9.09
CAR,Benguet,2019,25278.333333333332,4.0,9.063333333333333
CAR,Benguet,2020,26398.666666666668,4.0,9.036666666666667
CAR,Benguet,2021,27519.0,4.0,9.01
CAR,Benguet,2022,29381.0,3.25,7.58
CAR,Benguet,2023,31243.0,2.5,6.15
